"Number_of_Trips","State"
5,"Alaska"
33,"Alabama"
7,"Arkansas"
20,"Arizona"
94,"California"
2,"Colorado"
3,"Connecticut"
2,"Delaware"
4,"Florida"
40,"Georgia"
41,"Iowa"
27,"Idaho"
60,"Illinois"
36,"Indiana"
7,"Kansas"
7,"Kentucky"
1,"Louisiana"
4,"Massachusetts"
1,"Maryland"
16,"Maine"
58,"Michigan"
5,"Minnesota"
49,"Missouri"
101,"Mississippi"
70,"Montana"
34,"North Carolina"
1,"North Dakota"
4,"Nebraska"
25,"New Hampshire"
10,"New Jersey"
4,"New Mexico"
59,"Nevada"
8,"New York"
18,"Ohio"
13,"Oklahoma"
6,"Oregon"
2,"Pennsylvania"
8,"Rhode Island"
103,"South Carolina"
2,"Tennessee"
18,"Texas"
50,"Utah"
1,"Vermont"
13,"Washington"
1,"Wisconsin"
37,"West Virginia"
166,"Wyoming"
2,"D.C."
6,"No Other"
