"Total_Response","Response"
221,"Rapid City"
81,"Hill City"
61,"Hot Springs"
151,"Deadwood"
199,"Badlands"
179,"Custer"
47,"Wind Cave"
293,"Mount Rushmore"
23,"Jewel Cave"
197,"Crazy Horse"
153,"Wall Drug"
18,"Harney Peak"
16,"Mickelson Trail"
36,"Minutemen"
103,"Spearfish Canyon"
65,"Sturgis Rally"
20,"Other"
0,"caverns"
1,"EllsworthAFB"
0,"Golf courses"
4,"lead"
0,"lemmon"
1,"Mammoth exhibition"
0,"Mystic Deer Mountain, Black Hills"
0,"Needles Highway"
2,"none"
0,"None"
0,"none of your business"
0,"Spearfish"
6,"Spearfish hatchery"
3,"The needles"
1,"Winner, SD"
